equipment_id,name,rarity_id,type
S0-001,双联装381mm主炮改#T0,4,战列炮
S0-002,410mm连装炮(三式弹)#T0,4,战列炮
S0-003,高性能舵机#T0,4,设备
S0-004,高性能对空雷达#T0,4,设备
S0-005,双联装40mm博福斯海兹梅耶#T0,4,防空炮
S0-006,双联装40mm博福斯STAAG#T0,4,防空炮
S0-007,高性能火控雷达#T0,4,设备
S1-001,试作型三联装152mm主炮#T0,4,轻巡炮
S1-002,试作型三联装203mmSKC主炮#T0,4,重巡炮
S1-003,试作型三联装203mm舰炮#T0,4,重巡炮
S1-004,试作型三联装381mm主炮#T0,4,战列炮
S1-005,试作型410mm三连装炮#T0,4,战列炮
S1-006,100mm连装高炮#T0,4,防空炮
S2-001,试作型三联装152mm高平两用炮Mk17#T0,4,轻巡炮
S2-002,试作型三联装310mm主炮#T0,4,大口径重巡炮
S2-003,试作型双联装457mm主炮MkA#T0,5,战列炮
S2-004,试作型双联装406mmSKC主炮#T0,4,战列炮
S2-005,试作型五式40mm高射机关炮#T0,4,防空炮
S2-006,双联37mm高射炮Mle1936#T0,4,防空炮
S3-001,双联装114mm高平两用炮Mark IV#T0,4,驱逐炮
S3-002,试作型三联装234mm主炮#T0,5,重巡炮
S3-003,试作型双联装234mm主炮#T0,4,重巡炮
S3-004,试作型三联装406mm/50主炮#T0,4,战列炮
S3-005,试作型三联装305mmSKC39主炮#T0,4,战列炮
S3-006,六联装40mm博福斯对空机炮#T0,4,防空炮
S4-001,试作型三联装305mmSKC39主炮(超巡用)#T0,4,大口径重巡炮
S4-002,试作型三联装406mm主炮Model1940#T0,4,战列炮
S4-003,试作型双联90mm高角炮Model1939#T0,4,防空炮
S4-004,试作舰载型BF-109G#T0,4,战斗机
S4-005,试作舰载型天雷#T0,5,轰炸机
S4-006,试作型彩云(舰攻型)#T0,4,鱼雷机
S5-001,试作型双联装130mm主炮Model1936#T0,4,驱逐炮
S5-002,试作型四联装152mm主炮#T0,5,轻巡炮
S5-003,试作型四联装330mm主炮Mle1931(超巡用)#T0,4,大口径重巡炮
S5-004,试作型四联装30mm机炮#T0,4,防空炮
S5-005,试作舰载型Su-2#T0,4,轰炸机
S5-006,试作型VIT-2(VK-107)#T0,4,鱼雷机
S6-001,试作型三联装150mm五式高平两用炮#T0,4,轻巡炮
S6-002,试作型双联装TbtsKC42T式150mm主炮#T0,4,轻巡炮
S6-003,试作型三联装203mmSKC主炮改#T0,5,重巡炮
S6-004,试作型三联装406mm主炮Mk6改#T0,4,战列炮
S6-005,试作型三联装380mm主炮Mle1935#T0,4,战列炮
S6-006,试作型55mm Gerät 58防空炮#T0,4,防空炮
S7-001,试作舰载型La-9#T0,5,战斗机
S7-002,试作型VIT-2（模式调整）#T0,4,鱼雷机
S7-003,试作型三联装254mm主炮Model1939#T0,4,重巡炮
S7-004,试作型三联装152mm主炮Model1936#T0,4,轻巡炮
S7-005,试作型F8F熊猫（浮筒型）#T0,4,水上机
S7-006,试作型双联装410mm主炮Mod.A#T0,4,战列炮
S8-001,试作型B-1-P 三联装180mm主炮Model1932改#T0,4,轻巡炮
S8-002,试作型三联装283mm/54.5主炮#T0,4,大口径重巡炮
S8-003,试作型四联装305mmSKC39主炮#T0,5,战列炮
S8-004,试作型三联装406mm/45主炮Mk7#T0,4,战列炮
S8-005,试作型四联装533毫米鱼雷Si 270#T0,4,水面鱼雷
S8-006,试作型六联装Scotti20mm机炮Model1941#T0,4,防空炮
S9-001,试作舰载型Ta 152C-1/R14#T0,5,轰炸机
S9-002,试作型三联装419mm主炮MK.I#T0,4,战列炮
S9-003,试作型双联装127mm主炮Mle1948#T0,4,驱逐炮
S9-004,试作型双联装127mm高平两用炮Mk16#T0,4,驱逐炮
S9-005,试作型三联装550mm鱼雷改（弹药调整）#T0,4,水面鱼雷
S9-006,试作型四联装610mm鱼雷（巡洋用）#T0,4,水面鱼雷
G0001,双联100mm98式高射炮改#T0,5,驱逐炮
G0002,试作型五式127mm连装炮#T0,5,驱逐炮
G0003,双联装138.6mm主炮Mle1934#T0,5,驱逐炮
G0006,试作型203mm/55三连装主炮#T0,5,重巡炮
G0008,SM-40 试作型三联装220mm主炮#T0,5,重巡炮
G0009,三联装305mm主炮Mk8#T0,5,大口径重巡炮
G0010,三联装406mm主炮Mk7#T0,5,战列炮
G0012,试作型三联装406mm主炮Mk.II#T0,5,战列炮
G0013,460mm三连装炮#T0,5,战列炮
G0015,试作型三联装406mm主炮Model1940改#T0,5,战列炮
G0016,五联装610mm鱼雷#T0,5,水面鱼雷
G0017,五联装533mm磁性鱼雷#T3,5,水面鱼雷
G0018,潜艇用95式纯氧鱼雷改#T0,5,潜艇鱼雷
G0019,潜艇用G7e声导鱼雷改#T0,5,潜艇鱼雷
G0020,双联装76mmRF火炮Mk37#T0,5,防空炮
G0021,双联装57mmL/60博福斯对空机炮Mle1951#T0,5,防空炮
G0023,飞龙(鱼雷机)#T0,5,鱼雷机
G0024,试作型旗鱼#T0,5,鱼雷机
G0025,AD-1天袭者#T0,5,轰炸机
G0028,海军部火控台#T0,5,设备
G0029,Z旗#T0,5,设备
G0030,九三式纯氧鱼雷#T3,5,设备
G0031,双联装127mm高平两用炮Mk12#T3,4,驱逐炮
G0032,试作型双联装137mm高平两用炮Mk1#T0,4,驱逐炮
G0034,双联装120mm高平两用炮Mark XI#T0,4,驱逐炮
G0036,单装113mm高平两用炮Mark IV#T0,4,驱逐炮
G0037,双联100mm98式高射炮#T3,4,驱逐炮
G0038,127mm连装炮（D型）#T0,4,驱逐炮
G0039,双联装128mmSKC41高平两用炮改#T0,4,驱逐炮
G0041,双联装135mm主炮Model1938#T3,4,驱逐炮
G0042,B-13 双联装130mm主炮B-2LM#T3,4,驱逐炮
G0043,138.6mm单装炮Mle1929#T3,4,驱逐炮
G0045,12磅长管炮#T3,4,驱逐炮
G0046,旧式重火炮#T3,4,驱逐炮
G0047,三联装152mm主炮Mk16#T0,4,轻巡炮
G0050,155mm三连装炮#T3,4,轻巡炮
G0051,试作型155mm三连装炮改#T0,4,轻巡炮
G0053,试作型双联装SKC28式150mm主炮改#T0,4,轻巡炮
G0055,三联装152mm主炮Model1934#T3,4,轻巡炮
G0057,B-38 三联装152mm主炮MK-5#T3,4,轻巡炮
G0058,B-1-P 三联装180mm主炮Model1932#T3,4,轻巡炮
G0060,三联装152mm主炮Mle1930(高爆弹)#T0,4,轻巡炮
G0061,三联装203mm主炮Mk15#T0,4,重巡炮
G0063,试作型三联装203mm主炮Mark IX#T0,4,重巡炮
G0064,试作型三联装203mm主炮Mark X#T0,4,重巡炮
G0065,试作型203mm(3号)连装炮#T0,4,重巡炮
G0066,双联装203mmSKC主炮#T3,4,重巡炮
G0068,双联装203mmSKC主炮改#T0,4,重巡炮
G0069,双联203mm主炮Model1927#T3,4,重巡炮
G0071,试作型三联装240mm主炮#T0,4,重巡炮
G0073,双联装203mm主炮Mle1931#T3,4,重巡炮
G0076,B-50 三联装305mm主炮MK-15#T0,4,大口径重巡炮
G0079,试作型三联装406mm主炮MkD#T0,4,战列炮
G0081,试作型双联装406mm主炮Mk4#T0,4,战列炮
G0083,四联装356mm主炮#T3,4,战列炮
G0085,三联装406mm主炮#T3,4,战列炮
G0091,双联380mmSKC主炮#T3,4,战列炮
G0094,试作型三联装380mmSKC主炮#T0,4,战列炮
G0095,三联装381mm主炮Model1934#T3,4,战列炮
G0097,B-37 三联装406mm主炮MK-1#T3,4,战列炮
G0098,四联装380mm主炮Mle1935#T3,4,战列炮
G0101,旧式半加农炮#T3,4,战列炮
G0102,五联装533mm鱼雷#T3,4,水面鱼雷
G0103,五联装533mm鱼雷Mk17#T0,4,水面鱼雷
G0104,533mm鱼雷Mk35(4连发射)#T0,4,水面鱼雷
G0105,五联装533mm鱼雷Mark IX#T0,4,水面鱼雷
G0106,四联装610mm鱼雷#T3,4,水面鱼雷
G0107,四联装610mm鱼雷改#T0,4,水面鱼雷
G0109,四联装533mm磁性鱼雷#T3,4,水面鱼雷
G0110,四联装533mm磁性鱼雷改#T0,4,水面鱼雷
G0111,五联装533mm磁性鱼雷#T2,4,水面鱼雷
G0113,四联装550mm鱼雷改（弹药调整）#T0,4,水面鱼雷
G0114,550mm鱼雷组（三联装+双联装）#T0,4,水面鱼雷
G0116,潜艇用Mark 16鱼雷#T3,4,潜艇鱼雷
G0117,潜艇用Mark 28鱼雷#T0,4,潜艇鱼雷
G0118,潜艇用Mark 12鱼雷-菲里#T0,4,潜艇鱼雷
G0119,潜艇用Mark 20 S鱼雷-彼得#T0,4,潜艇鱼雷
G0120,潜艇用95式纯氧鱼雷#T3,4,潜艇鱼雷
G0121,潜艇用96式纯氧鱼雷#T3,4,潜艇鱼雷
G0122,潜艇用G7e声导鱼雷#T3,4,潜艇鱼雷
G0123,双联装76mmRF火炮Mk27#T0,4,防空炮
G0124,四联40mm博福斯对空机炮#T3,4,防空炮
G0125,双联装127mm高平两用炮Mk12(定时引信)#T0,4,防空炮
G0126,双联装134mm高炮#T0,4,防空炮
G0127,八联装40mm“砰砰”炮#T3,4,防空炮
G0128,双联装113mm高射炮#T3,4,防空炮
G0132,双联装134mm高炮(定时引信)#T0,4,防空炮
G0133,九六式25mm三连装暴风避盾机炮#T0,4,防空炮
G0135,127mm连装高角炮改#T0,4,防空炮
G0137,127mm连装高角炮改(定时引信)#T0,4,防空炮
G0138,80mm98式连装高炮#T0,4,防空炮
G0139,双联105mmSKC高炮#T3,4,防空炮
G0140,双联105mmSKC高炮改进型#T0,4,防空炮
G0141,双联105mmSKC高炮改进型(定时引信)#T0,4,防空炮
G0144,90mm单装高角炮Model1939#T3,4,防空炮
G0148,双联装100mm高炮Mle1945#T0,4,防空炮
G0149,F2A水牛(萨奇队)#T0,4,战斗机
G0150,F4U(VF-17“海盗”中队)#T0,4,战斗机
G0151,F6F地狱猫#T3,4,战斗机
G0152,F7F虎猫#T0,4,战斗机
G0153,F8F熊猫#T0,4,战斗机
G0154,试作型XF5U飞碟#T0,4,战斗机
G0155,F6F地狱猫(HVAR搭载型)#T0,4,战斗机
G0156,海喷火FR.47#T0,4,战斗机
G0157,海毒牙#T3,4,战斗机
G0158,海怒#T0,4,战斗机
G0159,海大黄蜂#T0,4,战斗机
G0160,零战五二型#T3,4,战斗机
G0161,烈风#T3,4,战斗机
G0162,紫电改二#T0,4,战斗机
G0163,试作型紫电改四#T0,4,战斗机
G0164,Me-155A舰载战斗机#T3,4,战斗机
G0166,试作舰载型FW-190 A-6/R6#T0,4,战斗机
G0167,试作舰载型FW-190 G-3/R1#T0,4,战斗机
G0168,TBD蹂躏者(VT-8中队)#T0,4,鱼雷机
G0169,TBM复仇者(VT-18中队)#T0,4,鱼雷机
G0170,XTB2D-1天空海盗#T0,4,鱼雷机
G0171,剑鱼(818中队)#T0,4,鱼雷机
G0172,梭鱼#T3,4,鱼雷机
G0173,火把#T0,4,鱼雷机
G0174,火冠#T0,4,鱼雷机
G0175,流星#T3,4,鱼雷机
G0176,流星改#T0,4,鱼雷机
G0178,Ju-87 D-4#T0,4,鱼雷机
G0179,FW-190 F-8/U2#T0,4,鱼雷机
G0182,BR.810#T0,4,鱼雷机
G0183,F4U海盗（VBF-94中队）#T0,4,轰炸机
G0184,SBD无畏(麦克拉斯基队)#T0,4,轰炸机
G0185,实验型XSB3C-1#T0,4,轰炸机
G0186,BTD-1毁灭者#T3,4,轰炸机
G0187,萤火虫(轰炸机)#T0,4,轰炸机
G0188,萤火虫(1771中队)#T0,4,轰炸机
G0189,梭鱼(831中队)#T0,4,轰炸机
G0190,彗星(轰炸机)#T3,4,轰炸机
G0191,彗星一二型甲#T0,4,轰炸机
G0192,彗星二一型#T0,4,轰炸机
G0194,试作舰载型Su-6#T0,4,轰炸机
G0195,LN.401#T0,4,轰炸机
G0197,TBM复仇者(VT-51中队)#T0,4,反潜机
G0198,塘鹅#T0,4,反潜机
G0199,开拓者奖章#T0,4,设备
G0200,华盛顿海军条约#T0,4,设备
G0201,舰艇维修设备#T3,4,设备
G0202,液压弹射装置#T3,4,设备
G0203,改良声呐#T3,4,设备
G0204,异世界冒险终端#T0,4,设备
G0205,漫游者#T0,4,设备
G0206,零号协议密钥#T0,4,设备
G0207,炽烈之歌#T0,4,设备
G0208,活力之歌#T0,4,设备
G0209,闪耀之歌#T0,4,设备
G0210,引力舞鞋#T0,4,设备
G0211,星云舞裙#T0,4,设备
G0212,「Alizarin」应援毛巾#T0,4,设备
G0213,「Cyanidin」应援毛巾#T0,4,设备
G0214,小海狸中队队徽#T0,4,设备
G0215,珍珠之泪#T0,4,设备
G0216,超重弹#T0,4,设备
G0217,白鹰精英损管#T0,4,设备
G0219,SG雷达#T3,4,设备
G0221,速运高速无人机#T0,4,设备
G0222,纳尔逊的旗语#T0,4,设备
G0223,6CRH穿甲弹#T0,4,设备
G0225,小王冠#T0,4,设备
G0226,治愈系猫爪#T0,4,设备
G0227,一式穿甲弹#T0,4,设备
G0228,九三式纯氧鱼雷#T2,4,设备
G0229,VH装甲钢板#T0,4,设备
G0230,约定的证明#T0,4,设备
G0231,FuMO 25#T0,4,设备
G0232,533mm磁性鱼雷#T3,4,设备
G0233,改良型水下进气管#T0,4,设备
G0234,改良蓄电池阵列#T0,4,设备
G0235,艇壳改良设计案#T3,4,设备
G0236,四神之印#T0,4,设备
G0237,梅之语#T0,4,设备
G0238,“妖精魔法”海报#T0,4,设备
G0239,天使之羽#T0,4,设备
G0240,珍贵货物箱#T0,4,设备
G0241,随机单词生成器#T0,4,设备
G0242,晃悠悠#T0,4,设备
G0243,智慧模块#T0,4,设备
G0244,组徽#T0,4,设备
G0245,Gamers的证明#T0,4,设备
G0246,玉米灯笼#T0,4,设备
G0247,鮟鱇肝#T0,4,设备
G0248,千雷装饰笔#T0,4,设备
G0249,写真看板#T0,4,设备
G0250,幸运四叶草#T0,4,设备
G0251,觉醒宝珠#T0,4,设备
G0252,心之钥匙#T0,4,设备
G0253,偶像手环#T0,4,设备
G0254,征战巨坦#T0,4,设备
G0255,古立特圣剑#T0,4,设备
G0256,爆裂钻孔机#T0,4,设备
G0257,苍穹喷射机#T0,4,设备
G0258,戴拿爆能加农#T0,4,设备
G0259,煌翼炎龙#T0,4,设备
G0260,炙烈炎烧#T0,4,设备
G0261,结晶冰精#T0,4,设备
G0262,震耳雷球#T0,4,设备
G0263,涡旋风精#T0,4,设备
G0264,万灵药剂#T0,4,设备
G0265,神秘的羽衣#T0,4,设备
G0266,默示录#T0,4,设备
G0267,Ｎ／Ａ#T0,4,设备
G0268,创世之槌#T0,4,设备
G0269,泡云弹车#T0,4,设备
G0270,形意口琴#T0,4,设备
G0271,忍者大师徽章#T0,4,设备
G0272,忍者装束#T0,4,设备
G0273,忍术卷轴#T0,4,设备
G0274,咻咻料理君#T0,4,设备
G0275,嗡嗡倾听君#T0,4,设备
G0276,嘘嘘隐身君#T0,4,设备
G0277,嘻嘻加班君#T0,4,设备
G0278,嘭嘭速生君#T0,4,设备
G0279,噗噗氛围君#T0,4,设备
G0280,辉辉光环君#T0,4,设备
G0281,宏伟光辉#T0,4,设备
G0282,高级魔导书#T0,4,设备
G0283,最终陨石#T0,4,设备
G0284,神药球#T0,4,设备
G0285,地狱立方体#T0,4,设备
G0286,天恩浑仪#T0,4,设备
G0287,芙拉米#T0,4,设备
G0288,封解主（Michael）#T0,4,设备
G0289,灵结晶#T0,4,设备
G0290,超大饭团#T0,4,设备
G0291,刺猬弹#T0,4,设备
G0292,“九四式40厘米炮”部件#T0,4,"设备, 货物"
G0293,帝王蟹（附带小票）#T0,4,"设备, 货物"
G0294,木龙雕塑#T0,4,"设备, 货物"
G0295,上游-1#T0,4,导弹
G0296,上游-1甲#T0,4,导弹
G0297,127mm单装炮#T3,3,驱逐炮
G0298,双联装127mm副炮#T0,3,驱逐炮
G0299,双联装127mm高平两用炮Mk12#T2,3,驱逐炮
G0300,双联装102mm副炮Mark XVI#T0,3,驱逐炮
G0301,三联装102mm副炮#T3,3,驱逐炮
G0302,双联装120mm主炮(皇家)#T3,3,驱逐炮
G0303,双联装134mm高炮#T3,3,驱逐炮
G0304,双联100mm98式高射炮#T2,3,驱逐炮
G0305,100mm88式火炮#T0,3,驱逐炮
G0306,120mm单装高角炮#T0,3,驱逐炮
G0307,127mm连装炮#T3,3,驱逐炮
G0308,127mm连装炮改#T0,3,驱逐炮
G0309,双联装127mmKM40主炮#T0,3,驱逐炮
G0310,双联装128mmSKC41高平两用炮#T3,3,驱逐炮
G0311,双联装120mm炮Model1936#T3,3,驱逐炮
G0312,双联装120mm主炮(撒丁)#T3,3,驱逐炮
G0313,双联装135mm主炮Model1938#T2,3,驱逐炮
G0314,130mm单装炮#T3,3,驱逐炮
G0315,138.6mm单装炮Mle1929#T2,3,驱逐炮
G0316,双联装130mm主炮Mle1935#T3,3,驱逐炮
G0317,138.6mm单装炮Mle1927#T3,3,驱逐炮
G0318,三联装152mm主炮(白鹰)#T3,3,轻巡炮
G0319,双联装152mm主炮#T3,3,轻巡炮
G0320,三联装152mm主炮(皇家)#T3,3,轻巡炮
G0321,140mm连装炮#T3,3,轻巡炮
G0322,155mm三连装炮#T2,3,轻巡炮
G0323,152mm连装炮#T3,3,轻巡炮
G0324,单装SKC28式150mm主炮#T3,3,轻巡炮
G0325,双联装SKC28式150mm副炮#T0,3,轻巡炮
G0326,三联装SKC25式150mm主炮#T3,3,轻巡炮
G0327,三联装SKC25式150mm主炮改#T0,3,轻巡炮
G0328,双联装TbtsKC36式150mm主炮#T3,3,轻巡炮
G0329,单装TbtsKC36式150mm主炮#T3,3,轻巡炮
G0330,B-38 三联装152mm主炮MK-5#T2,3,轻巡炮
G0331,B-1-P 三联装180mm主炮Model1932#T2,3,轻巡炮
G0332,B-1-K 单装180mm主炮#T0,3,轻巡炮
G0333,B-38 双联装152mm主炮MK17#T0,3,轻巡炮
G0334,三联装203mm主炮Mk14#T0,3,重巡炮
G0335,三联装203mm主炮改进型#T3,3,重巡炮
G0336,双联装203mm主炮#T3,3,重巡炮
G0337,203mm连装炮#T3,3,重巡炮
G0338,203mm连装炮改#T3,3,重巡炮
G0339,双联装203mmSKC主炮#T2,3,重巡炮
G0340,双联203mm主炮Model1927#T2,3,重巡炮
G0341,双联装203mm主炮Mle1931#T2,3,重巡炮
G0342,双联装203mm主炮Mle1924#T3,3,重巡炮
G0343,三联283mmSKC28主炮#T3,3,大口径重巡炮
G0344,试作型四联装356mm主炮MkB#T0,3,战列炮
G0345,双联装406mm主炮Mk5#T3,3,战列炮
G0346,双联装406mm主炮Mk8#T0,3,战列炮
G0347,三联装406mm主炮Mk6#T3,3,战列炮
G0348,三联装406mm主炮Mk2#T0,3,战列炮
G0349,四联装356mm主炮#T2,3,战列炮
G0350,双联装356mm主炮#T0,3,战列炮
G0351,双联装381mm主炮#T3,3,战列炮
G0352,三联装406mm主炮#T2,3,战列炮
G0353,410mm连装炮#T3,3,战列炮
G0354,410mm连装炮改#T0,3,战列炮
G0355,三联283mmSKC34主炮#T3,3,战列炮
G0356,双联380mmSKC主炮#T2,3,战列炮
G0357,三联装381mm主炮Model1934#T2,3,战列炮
G0358,B-37 三联装406mm主炮MK-1#T2,3,战列炮
G0359,三联装356mm主炮Model1913#T0,3,战列炮
G0360,四联装330mm主炮Mle1931#T3,3,战列炮
G0361,四联装380mm主炮Mle1935#T2,3,战列炮
G0362,四联装533mm鱼雷#T3,3,水面鱼雷
